ID	Sentence	Detected as	Resolved as
library#01	All material that is stored in the repository will enter <referential>it</referential> via the Ingest function.	NOCUOUS	
library#02-1	The Library may want to accept important digital materials in non-standard formats in case <referential>we</referential> are able to migrate them to a more usable format in the future.	NOCUOUS
library#02-2	The Library may want to accept important digital materials in non-standard formats in case we are able to migrate <referential>them</referential> to a more usable format in the future.	INNOCUOUS	digital materials
library#03	Once material has arrived, <referential>it</referential> must undergo several reviews, including virus checking, format compliance and anticipated content and file type.	INNOCUOUS	material
library#04	Allows resources to be reviewed before a decision is made whether <referential>they</referential> should be retained.	INNOCUOUS	resources
library#05	Allows metadata to be stored in a database in a manner that conforms to repository reformatting and linked to <referential>their</referential> corresponding objects via an identifier.	INNOCUOUS	metadata
library#06	The Coordinate Updates function also incorporates the storage identification information into the Descriptive Information for the AIP and transfers <referential>it</referential> to the Data Management entity along with a database update request.	NOCUOUS	
library#07	Archival Storage functions include receiving AIPs from Ingest and adding <referential>them</referential> to permanent storage, managing the storage hierarchy, refreshing the media on which archive holdings are stored, performing routine and special error checking, providing disaster recovery capabilities, and providing AIPs to Access to fulfill orders.	INNOCUOUS	APIs
library#08	<referential>It</referential> will also conform to any special levels of service required for the AIP, or any special security measures that are required, and ensures the appropriate level of protection for the AIP.	NOCUOUS	
library#09	<referential>It</referential> monitors error logs to ensure AIPs are not corrupted during transfers.	NOCUOUS	
library#10	However, the data constituting the Packaging Information may be changed as long as <referential>it</referential> continues to perform the same function and there is a straightforward implementation that does not cause information loss.	NOCUOUS	
library#11	The migration strategy must select a storage medium, taking into consideration the expected and actual rates of errors encountered in various media types, <referential>their</referential> performance, and <referential>their</referential> costs of ownership.	INNOCUOUS	media types
library#12	This function receives an AIP request that identifies the requested AIP(s) and provides <referential>them</referential> on the requested media type or transfers <referential>them</referential> to a staging area.	INNOCUOUS	the requested AIPs
library#13	The Generate Report function receives a report request from Ingest, Access or Administration and executes any queries or other processes necessary to generate the report that <referential>it</referential> supplies to the requester.	NOCUOUS	
library#14	<referential>It</referential> may also receive a report request from Access and provides descriptive information for a specific AIP.	NOCUOUS	
library#15	Administration functions include soliciting and negotiating submission agreements with producers, auditing submissions to ensure that <referential>they</referential> meet archive standards, and maintaining configuration management of system hardware and software.	NOCUOUS	
library#16	Audits data in SIPs or AIPs to ensure that <referential>they</referential> meet specified requirements.	NOCUOUS	
library#17	The Activate Requests function maintains a record of event-driven requests and periodically compares <referential>it</referential> to the contents of the archive to determine if all needed data is available.	NOCUOUS	
library#18	Maintains a record of event-driven events and compares <referential>it</referential> to the contents of the repository.	INNOCUOUS	record of event-driven events
library#19	The Monitor Designated Community function interacts with archive Consumers and Producers to track changes in <referential>their</referential> service requirements and available product technologies.	INNOCUOUS	archive Consumers and Producers
library#20	Interacts with repository users and content providers to track changes in <referential>their</referential> service requirements and available product technologies.	NOCUOUS	
library#21	This function receives reports from the Monitor Designated Communities and Monitor Technology functions, and <referential>it</referential> receives performance information, inventory reports and summarized consumer comments from Administration.	INNOCUOUS	this function
library#22	This function also receives external data standards from Monitor Technology and produces profiles of those standards that are sent to Administration as proposals on <referential>their</referential> potential usage.	NOCUOUS	
library#23	Produces profiles of those standards that are sent to Administration as proposals on <referential>their</referential> potential usage.	NOCUOUS	
library#24	The NLM will test preservation actions in order to determine <referential>their</referential> effectiveness across a range of digital objects.	NOCUOUS	
library#25	The NLM System Administration/Programming Access, ultimate rights to the system, required for <referential>its</referential> management, development, and for assigning appropriate rights to users.	NOCUOUS	
weather#01	The Clarus system shall process data as <referential>they</referential> are received.	INNOCUOUS	data
weather#02	The Clarus system shall be able to base <referential>its</referential> quality control process on values from multiple observations.	INNOCUOUS	The Clarus system
weather#03	The Clarus system shall be able to communicate with RWIS databases through <referential>their</referential> native interfaces.	INNOCUOUS	RWIS databases
weather#04	The Clarus system shall be able to collect data from sources within 5 minutes of <referential>them</referential> becoming available.	NOCUOUS	
weather#05	The CAS shall be configurable to allow new observation types to be implemented as <referential>they</referential> become available.	INNOCUOUS	new observation types
weather#06	The CS shall collect environmental data based on <referential>its</referential> configured schedule.	NOCUOUS	
weather#07	The CS shall be able to dynamically adjust <referential>its</referential> retrieval schedules when environmental data is expected to be ready but is temporarily delayed.	INNOCUOUS	CS
weather#08	The CS shall process environmental data as <referential>they</referential> are received.	INNOCUOUS	environmental data
weather#09	The Clarus system shall be able to communicate with environmental sensor stations through <referential>its</referential> collector using the NTCIP ESS 1204.	NOCUOUS	
weather#10	The CS shall be able to accept data from an RWIS database in <referential>its</referential> native output format.	NOCUOUS	
weather#11	The Clarus system shall be able to communicate with an individual ESS through <referential>its</referential> native interface.	NOCUOUS	
weather#12	The DOG shall be able to monitor new environmental data services as <referential>they</referential> are added.	INNOCUOUS	new environmental data services
weather#13	The DOG shall be able to record <referential>its</referential> activities.	INNOCUOUS	The DOG
weather#14	The QEDC shall maintain observations and <referential>their</referential> associated quality flags for seven days.	INNOCUOUS	observations
weather#15	The QEDC shall support queries for <referential>its</referential> observations.	INNOCUOUS	QEDC
weather#16	The QEDS shall log <referential>their</referential> activities.	NOCUOUS	
weather#17	The QChS shall be able to base <referential>its</referential> quality checking process on values distributed in time.	INNOCUOUS	QChS
weather#18	The contributors shall define the units of measurements of <referential>their</referential> shared data and information.	INNOCUOUS	The contributors
weather#19	The Clarus program shall determine how <referential>it</referential> will provide data and information to contributors.	INNOCUOUS	The Clarus program
weather#20	The Clarus program shall inform contributors of the acceptance and use" of <referential>their</referential> data and information."	INNOCUOUS	contributors
railway#01	The logon screen shall activate command control for the user if the user requests <referential>it</referential> and has authorization.	INNOCUOUS	command control
railway#02	When a device status has been overridden, on the screen <referential>it</referential> shall appear with different color from the normal and alarm status colors.	INNOCUOUS	device status
railway#03	<referential>It</referential> shall display and allow modification of all database tables with the exception of log tables.	NOCUOUS	
railway#04	The user should not be able to update log entries other than for <referential>their</referential> own login, for the current day and current shift.	NOCUOUS	
railway#05	Any change in device state shall be reported on the screen not later than 2 seconds from the time <referential>it</referential> occurs.	INNOCUOUS	any change
railway#06-1	When each workstation and control unit (workstation or intelligent controller at the FCU or DCU) comes online, the system shall identify <referential>it</referential> and all its associated device sensors.	NOCUOUS	
railway#06-2	When each workstation and control unit (workstation or intelligent controller at the FCU or DCU) comes online, the system shall identify it and all <referential>its</referential> associated device sensors.	NOCUOUS	
railway#07	The RLCS software shall initialize each control unit and device sensor as <referential>it</referential> is identified.	NOCUOUS	
railway#08	The devices can be manually controlled/operated from <referential>their</referential> cabinets (e.g.: Gates).	INNOCUOUS	the devices
railway#09	The normal operating mode is Monday through Friday, between 5:00am and 8:00pm, but the system must be functional in order to stay in <referential>its</referential> closed state after hours.	INNOCUOUS	the system
railway#10	The ETCS shall provide the driver with information to allow <referential>him</referential> to drive the train safely.	INNOCUOUS	the driver
railway#11-1	If the supervision is performed by a RBC <referential>it</referential> shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.	NOCUOUS	
railway#11-2	If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in <referential>its</referential> area if not authorised by the RBC.	NOCUOUS	
railway#12	<referential>It</referential> shall be possible to implement one or more of the ETCS application levels on a line.	INNOCUOUS	to implement
railway#13	The ETCS shall be compatible with existing national systems listed in the CCS TSI such that <referential>it</referential> does not interfere with the national systems and is not interfered with by the national systems.	INNOCUOUS	ETCS
railway#14	If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which <referential>it</referential> is equipped.	INNOCUOUS	equipped train
railway#15	On request of the RBC, the driver shall have the possibility to confirm that the track ahead of <referential>him</referential> until the end of the on sight section is clear .	INNOCUOUS	driver
railway#16	The braking curves shall ensure that the train complies with <referential>its</referential> speed requirements.	INNOCUOUS	the train
railway#17	If the release speed is calculated on board <referential>it</referential> shall ensure that the train will stop before reaching the danger point .	NOCUOUS	
railway#18	A train shall be supervised to <referential>its</referential> static and dynamic train speed profiles.	INNOCUOUS	a train
railway#19	Within the braking curve area, a warning shall be given to the driver to enable <referential>him</referential> to react and avoid intervention from ETCS equipment at least 5 sec. before the intervention.	INNOCUOUS	the driver
railway#20	The ETCS trainborne equipment shall transmit <referential>its</referential> own train identification to the RBC.	INNOCUOUS	ETCS trainborne equipment
railway#21	If a train cannot stop at the proposed new target location <referential>it</referential> shall reject the request and keep the old target location.	NOCUOUS	
railway#22	The train may proceed unrestricted to the end of <referential>its</referential> movement authority.	INNOCUOUS	The train
railway#23	<referential>It</referential> is acceptable that only one mobile user involved in the group call may talk at any time.	INNOCUOUS	that only one mobile user [...]
railway#24	If the text message facility is implemented, <referential>it</referential> shall not interfere with the ability of users to make or receive high priority voice or data calls.	INNOCUOUS	the text message facility
railway#25	Where fax functionality is provided, <referential>it</referential> shall be possible to interrupt the fax to make or receive a high priority voice or data call.	NOCUOUS	
railway#26	The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact <referential>them</referential>.	NOCUOUS	
railway#27	Where network services are chargeable, <referential>it</referential> should be possible for the network to provide information about call rates and on-going call charges.	INNOCUOUS	to provide information
railway#28	Picking up the handset shall transfer the communication to the handset and reduce the loudspeaker volume to <referential>its</referential> minimum level.	NOCUOUS	
railway#29	An indication shall be provided to the driver as a reminder of the need to use the Push-To-Talk button on the handset if <referential>he</referential> wants to talk.	INNOCUOUS	the driver
railway#30	<referential>It</referential> shall be possible for a driver to initiate Railway emergency calls (see section 13).	INNOCUOUS	to initiate [...]
railway#31	If the train moves out of the call area whilst the call is in progress, <referential>it</referential> will leave the call and an audible and visual indication of the loss of call shall be provided to the driver.	NOCUOUS	
railway#32	Once the driver has accepted the standard point-to-point call, <referential>it</referential> shall be connected appropriately, eg if the driver has accepted the call by lifting the handset, then the call shall be routed to the handset.	INNOCUOUS	standard point-to-point call
railway#33	In this case, the security device alerts the driver if the link has failed or if <referential>it</referential> is cancelled.	NOCUOUS	
railway#34-1	<referential>It</referential> should be possible for the Cab radio to be used without the network service (if it should fail or if there is no authorised network coverage), such that local open channel communications are still possible.	NOCUOUS	
railway#34-2	It should be possible for the Cab radio to be used without the network service (if <referential>it</referential> should fail or if there is no authorised network coverage), such that local open channel communications are still possible.	NOCUOUS	
railway#35	Where the Cab radio is required by a national railway to support a handheld portable, the Cab radio shall: - provide a clear indication as to whether the handheld portable is activated or not; - provide an interface to allow the handheld portable to be recharged when not in use; - forward calls automatically to the handheld portable when the handheld portable is activated; - cancel any call forwarding to the handheld portable when <referential>it</referential> is deactivated; - allow the driver to override the call forwarding to the handheld portable.	INNOCUOUS	the cab radio
railway#36	When the MMI is switched on, the configuration shall be determined by the time elapsed since the MMI was last switched off: - less than t minutes – the MMI shall power up with the same configuration as when <referential>it</referential> was last powered down; - greater than t minutes – the MMI shall power up with default settings.	INNOCUOUS	the MMI
railway#37	If directed network selection is implemented, input from the external device(s) shall initiate the network change regardless of the identity of the current network and how <referential>it</referential> was selected.	NOCUOUS	
railway#38	Non leading drivers shall be able to indicate to the system <referential>their</referential> location in the train during the registration procedure (2nd driver, 3rd driver etc).	INNOCUOUS	non leading drivers
railway#39	Each type of equipment has slightly different requirements placed upon <referential>it</referential> in terms of EMC and climate.	INNOCUOUS	each type of equipment
railway#40	The design of the equipment shall make <referential>it</referential> possible to install <referential>it</referential> within a cab complying with the requirements of UIC fiche 651 concerning the layout of cab equipment5.	NOCUOUS	
railway#41	If the call is a broadcast call, the user shall be informed that <referential>he</referential> cannot speak as part of the broadcast call.	INNOCUOUS	the user
railway#42	Where a change of functional number is required, <referential>it</referential> shall be possible for the user to initiate the change.	NOCUOUS	
railway#43-1	<referential>It</referential> shall be possible for the user to find and display stored numbers and their information.	NOCUOUS	
railway#43-2	It shall be possible for the user to find and display stored numbers and <referential>their</referential> information.	NOCUOUS	
railway#44	The Operational radio is specified to allow <referential>its</referential> use in the operating environment experienced on the operational railway (eg shunting and maintenance).	INNOCUOUS	the operational radio
railway#45	Controls shall be designed such that <referential>they</referential> are suitable for use by people wearing gloves.	INNOCUOUS	the controls
railway#46-1	<referential>It</referential> should be possible for the system to prevent certain types of users from registering functional numbers that they are not authorised to use, for example: - train number; - driver of train; - shunting team leader.	NOCUOUS	
railway#46-2	It should be possible for the system to prevent certain types of users from registering functional numbers that <referential>they</referential> are not authorised to use, for example: - train number; - driver of train; - shunting team leader.	NOCUOUS	
railway#47	As a minimum, the location information used by the EIRENE system shall be derived from that available from the network <referential>itself</referential> (eg current cell or base station serving the mobile).	NOCUOUS	
railway#48	After the 30 second period, if the connection was unsuccessful, the system shall provide another audible and visual indication that <referential>it</referential> was unable to connect the call.	INNOCUOUS	the system
railway#49	For post-incident analysis, <referential>it</referential> is important that the origination and reception of Railway emergency calls by mobiles is confirmed by a message sent to a ground-based central location (and also recorded in the on-train recording device).	NOCUOUS	
railway#50	Throughout the duration of the shunting group call, <referential>it</referential> shall be possible for any member of the shunting group to speak to all other members of the group, using the PTT function (as described in sections 5.2.2.53, 6.2.2.12 and 7.2.2.20), except during transmission of the link assurance signal.	NOCUOUS	
railway#51	The shunting leader can then choose the moment when <referential>he</referential> takes or rejects the call.	INNOCUOUS	the shunting leader
railway#52	In this case, the safety device will alert the driver only if the link assurance signal has failed or if <referential>it</referential> is cancelled.	INNOCUOUS	the link assurance signal
railway#53	The 300ms represents <referential>our</referential> current best estimate of the QoS figure, although this will need to be confirmed through user trials.	NOCUOUS	
railway#54	Each authority can decide whether <referential>it</referential> wishes to use synchronised BTSs.	INNOCUOUS	each authority
railway#55	The network shall terminate the ongoing VGCS/VBS call if <referential>it</referential> receives the 3-digit sequence “***” transmitted via DTMF signals.	NOCUOUS	
railway#56	The network shall send the SET-PARAMETER message with the attribute “D-ATT = T”1 [EN 301 515, Index [6]] to the mobile station of the talking subscriber if <referential>it</referential> receives the 3- digit sequence “###” transmitted via DTMF or the group call SETUP message2 from a controller terminal.	NOCUOUS	
railway#57-1	When the network has detected the 3-digit DTMF sequence “###” transmitted via DTMF from a controller terminal and if the controller was not previously talking <referential>it</referential> should indicate its recognition by playing a single DTMF grant tone “#” of duration of 100ms  5ms to be sent to that controller terminal only.	NOCUOUS	
railway#57-2	When the network has detected the 3-digit DTMF sequence “###” transmitted via DTMF from a controller terminal and if the controller was not previously talking it should indicate <referential>its</referential> recognition by playing a single DTMF grant tone “#” of duration of 100ms  5ms to be sent to that controller terminal only.	NOCUOUS	
railway#58	The network shall send the SET-PARAMETER message with the attribute “D-ATT = F”3 [EN 301 515, Index [6]] to the mobile of the talking subscriber only if <referential>it</referential> has received the 3-digit sequence “#**” transmitted via DTMF from all the talking controllers4.	NOCUOUS	
railway#59	Many of the railway specific standards referenced are Pre-standards (eg [prEN 50155, ENV 50121, prEN 50125]) and should be re-examined for <referential>their</referential> applicability to the EIRENE system if any modifications are made to these standards in the future.	INNOCUOUS	many of the railway standards
railway#60	Each of the other cabs on the train will be contacted using <referential>its</referential> functional number (registered by the other drivers prior to the establishment of the call).	NOCUOUS	
railway#61	Upon registration, the mobile shall be accessible by calling the MSISDN or the Engine or Coach number with which <referential>it</referential> is associated.	INNOCUOUS	the mobile
railway#62	The Cab radio system shall provide a means for the driver to terminate established calls which <referential>he</referential> is authorised to terminate.	INNOCUOUS	the driver
home#01	The DigitalHome programmable Appliance Manager shall provide for management of a home’s small appliances, including lighting units, by allowing a user to turn <referential>them</referential> on or off as desired.	NOCUOUS	
home#02	Although the product produced under this document will be a “prototype” version, all modules and components of this prototype version shall be designed and implemented in such a manner that <referential>it</referential> may be incorporated in a fully specified commercial version of the DigitalHome System.	NOCUOUS	
home#03	The DigitalHome System shall provide users with online documentation about the DigitalHome system installed in <referential>their</referential> home.	INNOCUOUS	the users
space#01	The FCP shall, if the NEFU ICP fails to send <referential>its</referential> ICP Ready signal, mask out that ICP, but continue to use the NE.16.	INNOCUOUS	"NEFU ICP"
space#02	Each rate group has some number of tasks associated with <referential>it</referential>, and <referential>it</referential> also has a rate for those tasks.	INNOCUOUS	Each rate group
space#03	The enabled tasks are then unblocked at the rate given in <referential>its</referential> associated rate group.	NOCUOUS	
space#04-1	An API call is available for the task to call to block <referential>itself</referential> when it is finished with its cyclic processing.	NOCUOUS	
space#04-2	An API call is available for the task to call to block itself when <referential>it</referential> is finished with its cyclic processing.	NOCUOUS	
space#04-3	An API call is available for the task to call to block itself when it is finished with <referential>its</referential> cyclic processing.	NOCUOUS	
space#05	There is up to a full major frame from notification of an impending mode change to acting on <referential>it</referential> in minor frame 0 of the next major frame plus the time <referential>it</referential> takes during the next minor frame 0 to switch tasking.	NOCUOUS	
space#06	The scheduler shall execute cyclic tasks, providing an API call to allow the application to block until <referential>its</referential> next iteration.	NOCUOUS	
space#07	The scheduler shall give tasks priority values according to <referential>their</referential> rate - the higher the rate, the higher the priority.	NOCUOUS	
space#08	The scheduler shall provide a mechanism to inform a task when <referential>it</referential> did not complete during the previous frame and restart <referential>it</referential> at the beginning of the task.	NOCUOUS	
space#09	All tasks in rate groups and <referential>their</referential> corresponding schedules for all vehicle modes will be setup at system initialization.	NOCUOUS	
space#10	Tasks in a rate group must suspend on a scheduler API call at the top of <referential>their</referential> execution loop.	INNOCUOUS	Tasks
space#11	For hardware exceptions and reserved exceptions, the FTSS shall make the error type and <referential>its</referential> context data available to the application, then return from the exception handler to the task that was running when the exception occurred.	NOCUOUS	
space#12	Messages are addressed with a global unique communication identifier that routes <referential>them</referential> to the appropriate virtual group (VG) and socket.	INNOCUOUS	Messages
space#13	This restriction does NOT apply to the ICPs since <referential>they</referential> are running as simplex VGs.	INNOCUOUS	ICPs
space#14	The FTSS shall mask out a babbling NE or ICP within 40 milliseconds after <referential>it</referential> is detected.	NOCUOUS	
space#15	Synchronous message passing sockets shall queue outgoing messages until <referential>they</referential> are transmitted at frame boundaries.	NOCUOUS	
space#16	Pipes may be opened by multiple receiving tasks if <referential>they</referential> are created with the broadcast" capability; otherwise <referential>they</referential> may only be opened by one receiving task."	NOCUOUS	
space#17	Communication services shall provide the capability to create pipe"s which "broadcast" <referential>their</referential> messages to all virtual groups."	NOCUOUS	
space#18	If the broadcast option is used, each virtual group should open the pipe and read from <referential>it</referential> to avoid flow control problems.	NOCUOUS	
space#19	The application software shall have the capability to reset a permanently failed channel to <referential>its</referential> initial recovery state.	NOCUOUS	
space#20	Redundancy Management picks up where <referential>it</referential> left off in these attempts.	INNOCUOUS	Redundancy management		
